4958 309.04833333 67.9525 F
4960 309.92916666 67.141666666 F
4961 310.23625 67.384722222 P
4963 314.27791666 77.615555555 F
4964 314.28291666 77.616388888 F
4965 314.30416666 77.595277777 F
4973 315.08625 68.221111111 P
4974 315.09208333 68.216111111 P
4990 315.38666666 68.188888888 P
4996 315.43291666 68.234166666 P
5004 315.55875 68.125 P
5005 315.58833333 67.905555555 P
5013 315.74791666 68.108888888 F
5019 337.0125 69.021111111 P
5020 337.03083333 69.010555555 P
5021 337.38875 75.221111111 F
5022 337.4975 75.234166666 F
5023 337.6325 75.235833333 P
5031 338.80875 75.250555555 F
5034 338.86083333 75.276666666 F
5036 339.02333333 75.308888888 F
5045 339.67833333 75.193333333 P
5046 339.69541666 75.1925 P
5048 339.72083333 75.189722222 P
5050 339.80541666 75.204166666 P
5056 309.77583333 68.0375 P
5057 311.47458333 67.960555555 P
5059 338.8475 75.285277777 P
5061 166.09458333 -77.30222222 F
5069 166.69333333 -77.37555555 P
5070 166.74166666 -77.38 P
5075 166.78833333 -77.38472222 P
5079 166.81708333 -77.385 F
5111 167.36875 -76.55777777 P
5121 167.47625 -76.51972222 F
5124 167.51375 -76.55305555 F
5138 167.79458333 -76.69916666 F
5149 193.42833333 -77.25305555 P
5154 194.77708333 -77.1275 P
5172 187.7475 -80.08638888 P
5177 284.46916666 -37.24444444 P
5180 285.06458333 -36.96583333 F
5194 285.45 -36.95611111 P
5195 285.45166666 -36.95388888 P
5199 285.48166666 -36.9475 P
5207 285.73666666 -37.12194444 F
5208 285.75416666 -37.13138888 F
5212 285.98 -37.15972222 F
5218 285.49375 -36.95222222 P
5219 285.74416666 -37.12638888 P
5224 285.77833333 -37.21361111 F
5226 285.46083333 -36.96916666 P
5227 285.42291666 -36.97527777 F
5228 285.48041666 -36.95583333 P
5229 285.485 -36.95777777 P
5231 326.17916666 47.778611111 P
5233 326.20125 47.749722222 P
5235 326.21541666 47.678888888 P
5236 326.21666666 47.675 P
5240 326.22458333 47.761944444 P
5241 326.2375 47.697777777 F
5243 326.26083333 47.551944444 P
5245 326.28458333 47.551388888 F
5246 326.36583333 47.763888888 P
5247 326.38 47.605833333 P
5250 326.49375 47.600277777 P
5257 326.7625 47.553888888 P
5258 326.775 47.660833333 P
5261 326.83833333 47.540555555 F
5262 326.84416666 47.534722222 P
5263 326.84458333 47.537222222 P
5264 326.86958333 47.538055555 F
5267 326.98166666 47.619722222 P
5268 326.99666666 47.607222222 P
5269 328.05958333 47.248333333 P
5280 328.15708333 47.243888888 P
5292 328.27875 47.242777777 P
5302 328.35416666 47.272777777 F
5307 328.36791666 47.261944444 P
5308 328.36916666 47.264166666 P
5315 328.37666666 47.219444444 F
5318 328.38083333 47.371388888 P
5322 328.3875 47.244166666 F
5324 328.38791666 47.238333333 P
5327 328.39125 47.29 P
5330 328.39458333 47.345555555 F
5334 328.40125 47.3175 P
5335 328.40416666 47.304722222 P
5337 328.40958333 47.326388888 F
5345 328.425 47.240555555 F
5350 328.45708333 47.230833333 P
5353 328.48208333 47.341666666 P
5355 328.49208333 47.245833333 P
5363 234.70125 -34.67722222 F
5366 235.56041666 -34.17361111 P
5369 235.75916666 -34.735 F
5375 241.76583333 -39.18638888 F
5376 241.78541666 -39.23527777 F
5382 241.97791666 -39.26222222 F
5394 242.12375 -39.05305555 P
5413 242.325 -39.08138888 P
5423 242.61416666 -39.04166666 F
5437 243.01833333 -38.16638888 F
5450 240.31458333 -41.87638888 F
5454 240.59 -41.68138888 P
5526 246.21541666 -39.94222222 P
5544 184.81625 -72.30694444 P
5561 245.41125 -22.89111111 P
5563 245.43791666 -23.70861111 F
5567 245.58708333 -23.06722222 F
5577 245.7725 -23.04888888 F
5579 245.77833333 -22.96 F
5585 245.88416666 -24.43138888 F
5591 245.91666666 -23.56027777 F
5606 246.36458333 -24.61305555 F
5616 246.44416666 -24.39333333 F
5624 246.56083333 -24.41861111 P
5627 246.57166666 -24.39583333 P
5631 246.57875 -24.40388888 F
5635 246.58875 -24.38444444 P
5638 246.5925 -24.40194444 F
5641 246.59791666 -24.41083333 F
5646 246.60583333 -24.38361111 P
5647 246.60666666 -24.40777777 P
5648 246.60791666 -24.39444444 F
5649 246.61 -24.40833333 P
5655 246.66833333 -24.45388888 P
5660 246.68375 -24.58 P
5663 246.70166666 -24.47722222 F
5666 246.71625 -24.51083333 F
5667 246.7225 -24.54333333 F
5668 246.72583333 -24.41027777 F
5680 246.74625 -24.58416666 P
5681 246.75958333 -24.62416666 P
5682 246.76208333 -24.43722222 F
5684 246.76708333 -24.47472222 F
5686 246.77166666 -24.60805555 P
5691 246.77791666 -24.63722222 P
5695 246.78916666 -24.62166666 P
5696 246.79625 -24.67944444 F
5702 246.81 -24.44583333 F
5705 246.81458333 -24.51472222 F
5706 246.81583333 -24.42027777 F
5708 246.81791666 -24.52055555 F
5709 246.82291666 -24.48222222 P
5711 246.82625 -24.65388888 F
5713 246.83 -24.47861111 F
5714 246.83916666 -24.69527777 F
5715 246.84041666 -24.49805555 P
5716 246.84083333 -24.4575 F
5718 246.85208333 -24.68416666 P
5721 246.85916666 -24.71277777 F
5723 246.86208333 -24.68055555 P
5725 246.86625 -24.65916666 P
5726 246.86833333 -24.45583333 F
5728 246.87541666 -24.46194444 F
5730 246.87875 -24.45916666 P
5738 246.905 -24.71027777 F
5743 246.91208333 -24.67222222 F
5746 246.91583333 -24.72083333 F
5750 246.92333333 -24.77888888 F
5751 246.92375 -24.72666666 F
5756 246.94041666 -24.74805555 F
5759 246.95083333 -24.70694444 P
5761 246.96541666 -24.52916666 F
5778 247.09 -24.60638888 P
5787 247.24083333 -24.68166666 P
5806 247.87166666 -24.07527777 F
5812 247.8925 -24.05694444 F
5813 247.89833333 -24.02472222 F
5814 247.90291666 -24.07194444 F
5815 247.93208333 -24.92333333 F
5820 247.96666666 -24.95722222 P
5822 247.96833333 -24.92666666 P
5827 248.00375 -24.945 P
5832 248.09416666 -24.47527777 P
5844 251.10083333 -24.02333333 P
5847 251.36083333 -24.05138888 F
5849 251.7425 -9.588611111 P
5856 245.51791666 -19.72388888 F
5858 254.33166666 -16.15638888 P
5859 51.33125 30.573333333 F
5860 51.342916666 30.753611111 P
5861 51.400833333 30.754166666 P
5862 51.401666666 30.756111111 P
5863 51.411666666 30.735 P
5864 51.412916666 30.732777777 P
5865 51.655833333 30.257777777 P
5867 51.911666666 30.215833333 P
5868 51.9125 30.2175 P
5870 51.93 30.207777777 P
5871 51.948333333 30.201111111 F
5873 52.00125 30.133611111 P
5874 52.135416666 31.184722222 P
5875 52.143333333 31.014166666 P
5876 52.14375 31.118055555 P
5877 52.145416666 30.915 F
5878 52.145833333 30.335833333 F
5879 52.154166666 31.225 P
5880 52.16125 31.301666666 F
5881 52.162916666 31.100277777 P
